"","Date","Block","Cation"
"1",2017-07-19,"C",160
"2",2017-07-20,"C",240
"3",2017-07-22,"C",280
"4",2017-07-23,"C",320
"5",2017-07-24,"C",330
"6",2017-07-25,"C",320
"7",2017-07-26,"C",330
"8",2017-07-27,"C",310
"9",2017-07-29,"C",330
"10",2017-07-30,"C",330
"11",2017-07-31,"C",340
"12",2017-08-01,"C",340
"13",2017-08-02,"C",320
"14",2017-08-03,"C",320
"15",2017-08-04,"C",300
"16",2017-08-06,"C",260
"17",2017-08-07,"C",340
"18",2017-08-08,"C",290
"19",2017-08-09,"C",300
"20",2017-08-11,"C",290
"21",2017-08-12,"C",270
"22",2017-08-13,"C",270
"23",2017-08-15,"C",210
"24",2017-08-16,"C",290
"25",2017-08-17,"C",290
"26",2017-08-19,"C",270
"27",2017-08-20,"C",270
"28",2017-08-22,"C",190
"29",2017-08-23,"C",330
"30",2017-08-24,"C",300
"31",2017-08-26,"C",270
"32",2017-08-27,"C",290
"33",2017-08-29,"C",230
"34",2017-08-30,"C",330
"35",2017-08-31,"C",320
"36",2017-09-01,"C",320
"37",2017-09-02,"C",290
"38",2017-09-03,"C",320
"39",2017-09-04,"C",240
"40",2017-09-06,"C",240
"41",2017-09-07,"C",320
"42",2017-09-08,"C",310
"43",2017-09-09,"C",280
"44",2017-09-10,"C",250
"45",2017-09-13,"C",270
"46",2017-09-14,"C",260
"47",2017-09-16,"C",250
"48",2017-09-17,"C",360
"49",2017-09-18,"C",390
"50",2017-06-01,"D",340
"51",2017-06-03,"D",310
"52",2017-06-04,"D",300
"53",2017-06-06,"D",320
"54",2017-06-07,"D",210
"55",2017-06-08,"D",310
"56",2017-06-10,"D",300
"57",2017-06-11,"D",330
"58",2017-06-12,"D",330
"59",2017-06-13,"D",310
"60",2017-06-14,"D",360
"61",2017-06-15,"D",320
"62",2017-06-16,"D",330
"63",2017-06-20,"D",210
"64",2017-06-21,"D",380
"65",2017-06-22,"D",350
"66",2017-06-23,"D",400
"67",2017-06-24,"D",300
"68",2017-06-25,"D",380
"69",2017-06-27,"D",300
"70",2017-06-28,"D",420
"71",2017-06-29,"D",390
"72",2017-06-30,"D",390
"73",2017-07-01,"D",450
"74",2017-07-02,"D",440
"75",2017-07-04,"D",350
"76",2017-07-05,"D",540
"77",2017-07-06,"D",500
"78",2017-07-07,"D",480
"79",2017-07-09,"D",390
"80",2017-07-10,"D",560
"81",2017-07-11,"D",530
"82",2017-07-12,"D",530
"83",2017-07-13,"D",530
"84",2017-07-15,"D",420
"85",2017-07-16,"D",540
"86",2017-07-17,"D",560
"87",2017-07-18,"D",500
"88",2017-07-19,"D",510
"89",2017-07-20,"D",460
"90",2017-07-22,"D",540
"91",2017-07-23,"D",600
"92",2017-07-24,"D",580
"93",2017-07-25,"D",560
"94",2017-08-17,"F",240
"95",2017-08-19,"F",260
"96",2017-08-20,"F",330
"97",2017-08-22,"F",310
"98",2017-08-23,"F",290
"99",2017-08-24,"F",260
"100",2017-08-26,"F",290
"101",2017-08-27,"F",290
"102",2017-08-29,"F",330
"103",2017-08-30,"F",310
"104",2017-08-31,"F",300
"105",2017-09-01,"F",380
"106",2017-09-02,"F",380
"107",2017-09-03,"F",310
"108",2017-09-04,"F",350
"109",2017-09-06,"F",380
"110",2017-09-07,"F",450
"111",2017-09-08,"F",440
"112",2017-09-09,"F",440
"113",2017-09-10,"F",410
"114",2017-09-13,"F",66
"115",2017-09-14,"F",310
"116",2017-09-16,"F",370
"117",2017-09-17,"F",450
"118",2017-09-18,"F",440
"119",2017-09-19,"F",480
"120",2017-09-20,"F",470
"121",2017-09-21,"F",490
"122",2017-09-22,"F",590
"123",2017-09-24,"F",610
"124",2017-09-26,"F",620
"125",2017-09-27,"F",650
"126",2017-09-28,"F",600
"127",2017-09-29,"F",570
"128",2017-10-01,"F",540
"129",2017-10-02,"F",590
"130",2017-10-03,"F",540
"131",2017-10-04,"F",590
"132",2017-10-05,"F",650
"133",2017-10-06,"F",620
"134",2017-10-07,"F",620
"135",2017-10-08,"F",620
"136",2017-10-10,"F",670
"137",2017-10-11,"F",670
"138",2017-10-12,"F",650
"139",2017-10-14,"F",690
"140",2017-10-15,"F",670
"141",2017-10-16,"F",700
"142",2017-10-17,"F",650
"143",2017-10-18,"F",650
"144",2017-10-19,"F",720
"145",2017-10-21,"F",730
"146",2017-10-22,"F",690
"147",2017-10-23,"F",670
