"","Date","Block","Cation"
"1",2017-09-18,"C",390
"2",2017-09-19,"C",370
"3",2017-09-20,"C",340
"4",2017-09-21,"C",350
"5",2017-09-22,"C",360
"6",2017-09-24,"C",370
"7",2017-09-26,"C",400
"8",2017-09-27,"C",470
"9",2017-09-28,"C",440
"10",2017-09-29,"C",420
"11",2017-10-01,"C",400
"12",2017-10-02,"C",470
"13",2017-10-03,"C",480
"14",2017-10-04,"C",450
"15",2017-10-05,"C",450
"16",2017-10-06,"C",470
"17",2017-10-07,"C",460
"18",2017-10-08,"C",460
"19",2017-10-10,"C",460
"20",2017-10-11,"C",490
"21",2017-10-12,"C",470
"22",2017-10-14,"C",450
"23",2017-10-15,"C",500
"24",2017-10-16,"C",490
"25",2017-10-17,"C",480
"26",2017-10-18,"C",470
"27",2017-10-19,"C",470
"28",2017-10-21,"C",500
"29",2017-10-22,"C",530
"30",2017-10-23,"C",520
"31",2017-10-24,"C",480
"32",2017-10-25,"C",550
"33",2017-10-26,"C",510
"34",2017-10-28,"C",570
"35",2017-10-29,"C",590
"36",2017-10-31,"C",480
"37",2017-11-01,"C",640
"38",2017-11-02,"C",550
"39",2017-11-03,"C",620
"40",2017-11-04,"C",680
"41",2017-11-05,"C",720
"42",2017-11-07,"C",670
"43",2017-11-08,"C",760
"44",2017-11-09,"C",770
"45",2017-11-11,"C",700
"46",2017-11-12,"C",800
"47",2017-11-14,"C",700
"48",2017-11-15,"C",790
"49",2017-11-16,"C",780
"50",2017-11-18,"C",720
"51",2017-11-19,"C",820
"52",2017-11-20,"C",840
"53",2017-11-21,"C",850
"54",2017-11-23,"C",750
"55",2017-11-24,"C",810
"56",2017-11-26,"C",790
"57",2017-11-27,"C",840
"58",2017-07-25,"D",560
"59",2017-07-26,"D",530
"60",2017-07-27,"D",550
"61",2017-07-29,"D",500
"62",2017-07-30,"D",550
"63",2017-07-31,"D",530
"64",2017-08-01,"D",600
"65",2017-08-02,"D",580
"66",2017-08-03,"D",560
"67",2017-08-04,"D",580
"68",2017-08-06,"D",570
"69",2017-08-07,"D",720
"70",2017-08-08,"D",660
"71",2017-08-09,"D",630
"72",2017-08-11,"D",490
"73",2017-08-12,"D",620
"74",2017-08-13,"D",590
"75",2017-08-15,"D",520
"76",2017-08-16,"D",690
"77",2017-08-17,"D",640
"78",2017-08-19,"D",540
"79",2017-08-20,"D",760
"80",2017-08-22,"D",700
"81",2017-08-23,"D",760
"82",2017-08-24,"D",750
"83",2017-08-26,"D",490
"84",2017-08-27,"D",700
"85",2017-08-29,"D",730
"86",2017-08-30,"D",690
"87",2017-08-31,"D",680
"88",2017-09-01,"D",790
"89",2017-09-02,"D",820
"90",2017-09-03,"D",710
"91",2017-09-04,"D",730
"92",2017-09-06,"D",760
"93",2017-09-07,"D",870
"94",2017-09-08,"D",820
"95",2017-09-09,"D",800
"96",2017-09-10,"D",610
"97",2017-09-13,"D",830
"98",2017-09-14,"D",680
"99",2017-09-16,"D",830
"100",2017-09-17,"D",1000
"101",2017-09-18,"D",890
"102",2017-09-19,"D",850
"103",2017-09-20,"D",790
"104",2017-09-21,"D",850
"105",2017-09-22,"D",900
"106",2017-09-24,"D",940
"107",2017-09-26,"D",900
"108",2017-09-27,"D",930
"109",2017-09-28,"D",930
"110",2017-09-29,"D",890
"111",2017-10-01,"D",880
"112",2017-10-02,"D",970
"113",2017-10-03,"D",890
"114",2017-10-04,"D",960
"115",2017-10-05,"D",930
"116",2017-10-06,"D",940
"117",2017-10-07,"D",920
"118",2017-10-08,"D",920
"119",2017-10-10,"D",960
"120",2017-10-11,"D",870
"121",2017-10-12,"D",930
"122",2017-10-14,"D",940
"123",2017-10-15,"D",930
"124",2017-10-16,"D",970
"125",2017-10-23,"F",670
"126",2017-10-24,"F",730
"127",2017-10-25,"F",730
"128",2017-10-26,"F",780
"129",2017-10-28,"F",720
"130",2017-10-29,"F",790
"131",2017-10-31,"F",870
"132",2017-11-01,"F",940
"133",2017-11-02,"F",890
"134",2017-11-03,"F",740
"135",2017-11-04,"F",880
"136",2017-11-05,"F",930
"137",2017-11-07,"F",940
"138",2017-11-08,"F",980
"139",2017-11-09,"F",940
"140",2017-11-11,"F",840
"141",2017-11-12,"F",950
"142",2017-11-14,"F",1000
"143",2017-11-15,"F",1000
"144",2017-11-16,"F",960
"145",2017-11-18,"F",1100
"146",2017-11-19,"F",970
"147",2017-11-20,"F",990
"148",2017-11-21,"F",960
"149",2017-11-23,"F",970
"150",2017-11-24,"F",1000
"151",2017-11-26,"F",950
"152",2017-11-27,"F",980
