"","Date","Block","Before","After","EC","Stress"
"1",2017-09-18,"C",5.8,5.31,5.73,1.8
"2",2017-09-19,"C",5.86,5.55,5.86,1.2
"3",2017-09-21,"C",5.84,5.67,5.93,0.7
"4",2017-09-22,"C",6.1,5.48,5.98,1.4
"5",2017-09-24,"C",6.81,5.31,6.1,2.2
"6",2017-09-26,"C",7.44,5.22,5.93,2.8
"7",2017-09-27,"C",6.37,6.37,6.37,0
"8",2017-09-28,"C",6.34,6.26,6.26,0
"9",2017-09-29,"C",6.49,6.31,6.31,0
"10",2017-10-01,"C",7.67,5.41,6.47,3.6
"11",2017-10-02,"C",6.65,6.56,6.56,0
"12",2017-10-03,"C",6.63,6.63,6.63,0
"13",2017-10-04,"C",6.64,6.41,6.65,0.4
"14",2017-10-05,"C",6.76,6.57,6.57,0
"15",2017-10-06,"C",6.74,6.61,6.61,0
"16",2017-10-07,"C",6.8,6.8,6.8,0
"17",2017-10-08,"C",6.94,6.8,6.8,0
"18",2017-10-10,"C",7.33,6.4,6.93,2
"19",2017-10-11,"C",7.05,6.94,6.94,0
"20",2017-10-12,"C",7.33,6.72,6.93,1.1
"21",2017-10-14,"C",7.91,6.64,7,1.9
"22",2017-10-15,"C",7.32,7.19,7.19,0
"23",2017-10-16,"C",7.27,7.19,7.19,0
"24",2017-10-17,"C",7.3,7.3,7.3,0
"25",2017-10-18,"C",7.37,7.26,7.32,0.2
"26",2017-10-19,"C",7.4,6.98,7.24,1.7
"27",2017-10-21,"C",7.75,7.04,7.44,1.9
"28",2017-10-22,"C",7.53,7.53,7.53,0
"29",2017-10-23,"C",7.55,7.55,7.55,0
"30",2017-10-24,"C",7.61,7.23,7.55,1.4
"31",2017-10-25,"C",7.55,7.54,7.54,0
"32",2017-10-26,"C",7.75,7.14,7.67,1.9
"33",2017-10-28,"C",8.38,7.16,7.55,1.3
"34",2017-10-29,"C",7.78,7.48,7.48,0
"35",2017-10-31,"C",8.07,6.11,7.52,5.3
"36",2017-11-02,"C",7.73,6.19,7.45,5
"37",2017-11-03,"C",7.74,7.44,7.63,0.6
"38",2017-11-04,"C",7.94,7.44,7.61,0.6
"39",2017-11-05,"C",7.83,7.65,7.71,0.2
"40",2017-11-07,"C",8.84,6.91,7.61,2.6
"41",2017-11-08,"C",8.03,7.88,7.88,0
"42",2017-11-09,"C",8.03,8.03,8.03,0
"43",2017-11-11,"C",9,7.2,7.89,2.7
"44",2017-11-12,"C",8.03,8.03,8.03,0
"45",2017-11-14,"C",8.28,7.73,8.01,1
"46",2017-11-15,"C",8.03,8.03,8.03,0
"47",2017-11-16,"C",8.18,8.02,8.02,0
"48",2017-11-18,"C",8.85,7.38,8.11,2.8
"49",2017-11-19,"C",8.57,8.25,8.25,0
"50",2017-11-20,"C",8.87,8.17,8.17,0
"51",2017-11-21,"C",8.45,8.45,8.45,0
"52",2017-11-23,"C",8.95,8.2,8.2,0
"53",2017-11-24,"C",8.28,8.28,8.28,0
"54",2017-11-26,"C",8.75,8,8.31,1.1
"55",2017-11-27,"C",8.51,8.41,8.41,0
