Date,Block,Measure,Supply
2017-06-01,A,290.0,5.0
2017-06-03,A,190.0,7.0
2017-06-04,A,240.0,7.0
2017-06-06,A,150.0,7.0
2017-06-07,A,220.0,5.0
2017-06-08,A,220.0,7.0
2017-06-10,A,210.0,7.0
2017-06-11,A,260.0,6.0
2017-06-12,A,270.0,5.0
2017-06-13,A,230.0,7.0
2017-06-14,A,250.0,6.0
2017-06-15,A,230.0,7.0
2017-06-16,A,250.0,7.0
2017-06-20,A,200.0,7.0
2017-06-21,A,270.0,6.0
2017-06-22,A,260.0,6.0
2017-06-23,A,290.0,5.0
2017-06-24,A,200.0,7.0
2017-06-25,A,290.0,4.0
2017-06-27,A,250.0,5.0
2017-06-28,A,200.0,4.0
2017-06-29,A,200.0,4.0
2017-06-30,A,200.0,4.0
2017-07-01,A,190.0,5.0
2017-07-02,A,190.0,6.0
2017-07-04,A,200.0,4.0
2017-07-05,A,220.0,3.0
2017-07-06,A,230.0,3.0
2017-07-07,A,170.0,4.0
2017-07-09,A,110.0,5.0
2017-07-10,A,170.0,4.0
2017-07-11,A,200.0,3.0
2017-07-12,A,190.0,3.0
2017-07-13,A,180.0,3.0
2017-07-15,A,140.0,4.0
2017-07-16,A,150.0,4.0
2017-07-17,A,180.0,4.0
2017-07-18,A,190.0,4.0
2017-07-19,A,200.0,4.0
2017-07-20,A,220.0,3.0
2017-07-22,A,130.0,4.0
2017-07-23,A,150.0,4.0
2017-07-24,A,160.0,4.0
2017-07-25,A,170.0,4.0
2017-07-26,A,190.0,4.0
2017-07-27,A,180.0,4.0
2017-07-29,A,140.0,5.0
2017-07-30,A,190.0,4.0
2017-07-31,A,190.0,4.0
2017-08-01,A,170.0,4.0
2017-08-02,A,180.0,0.0
2017-08-03,A,150.0,4.0
2017-08-04,A,160.0,4.0
2017-08-06,A,100.0,6.0
2017-08-07,A,150.0,5.0
2017-08-08,A,200.0,4.0
2017-08-09,A,200.0,4.0
2017-08-11,A,160.0,4.0
2017-08-12,A,150.0,5.0
2017-08-13,A,160.0,5.0
