"","date","Block","EC_Before","EC_After","EC","EC_Stress","PH_Before","PH_After","NO3","NO3_Supply","Cation","sweetness","Total","mean_temp","GDD","mean_Hum","mean_CO2","Cum_GDD"
"1",2017-07-18,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,18.2,81,394.5,18.2
"2",2017-07-19,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.75,19.75,71.5,355,37.95
"3",2017-07-20,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.85,18.85,71,373.5,56.8
"4",2017-07-21,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,20.2,68.5,358.5,77
"5",2017-07-22,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,20.4,66,365.5,97.4
"6",2017-07-23,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,19.5,74.5,379.5,116.9
"7",2017-07-24,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,19.8,73.5,438,136.7
"8",2017-07-25,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.75,19.75,78,417.5,156.45
"9",2017-07-26,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.85,20.85,75,400,177.3
"10",2017-07-27,"C",3.14,2.91,3.2,0.5,6.7,5.7,290,2,310,NA,NA,30,20,74.5,393.5,197.3
"11",2017-07-28,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,19.8,78,425,217.1
"12",2017-07-29,"C",3.16,3.02,3.27,0.5,6.6,6.4,280,3,330,NA,NA,31.6,21.6,72.5,407,238.7
"13",2017-07-30,"C",3.28,3.28,3.28,0,6.7,5.8,320,2,330,NA,NA,30.35,20.35,76,404.5,259.05
"14",2017-07-31,"C",3.37,3.31,3.31,0,6.6,6.2,330,2,340,NA,NA,31.4,21.4,74.5,422.5,280.45
"15",2017-08-01,"C",3.35,3.29,3.29,0,6.7,5.8,340,1,340,NA,NA,29.35,19.35,78.5,430.5,299.8
"16",2017-08-02,"C",3.31,3.31,3.31,0,6.5,6.2,330,0,320,NA,NA,29.1,19.1,73.5,409.5,318.9
"17",2017-08-03,"C",3.39,2.96,3.3,0.8,6.9,6.4,300,2,320,NA,NA,29.9,19.9,67.5,392,338.8
"18",2017-08-04,"C",3.32,3.13,3.33,0.4,6.8,6.1,300,2,300,NA,NA,30.2,20.2,73,397.5,359
"19",2017-08-05,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.85,20.85,72.5,409.5,379.85
"20",2017-08-06,"C",3.28,2.65,3.46,1.5,7.2,6.4,180,4,260,NA,NA,31.4,21.4,69,443,401.25
"21",2017-08-07,"C",3.48,3.48,3.48,0,6.9,6.2,250,4,340,NA,NA,27.8,17.8,83.5,447,419.05
"22",2017-08-08,"C",3.43,3.34,3.54,0.4,6.7,5.9,300,3,290,NA,NA,28.95,18.95,83,461.5,438
"23",2017-08-09,"C",3.61,3.53,3.53,0,6.5,6.3,320,2,300,NA,NA,30.25,20.25,73.5,437.5,458.25
"24",2017-08-10,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,20.9,74,428,479.15
"25",2017-08-11,"C",3.75,3.62,3.62,0,6.8,6.3,300,2,290,NA,NA,30.45,20.45,71.5,444.5,499.6
"26",2017-08-12,"C",3.96,3.53,3.6,0.1,6.8,6.4,270,3,270,NA,NA,29.7,19.7,69.5,397.5,519.3
"27",2017-08-13,"C",3.73,3.59,3.66,0.2,6.8,6.3,290,3,270,NA,NA,28.45,18.45,68,396.5,537.75
"28",2017-08-14,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.65,17.65,73,402,555.4
"29",2017-08-15,"C",4.63,2.72,3.95,2.8,7,6.3,160,4,210,NA,NA,28.65,18.65,83,428.5,574.05
"30",2017-08-16,"C",3.89,3.8,3.8,0,6.9,5.9,210,4,290,NA,NA,28.95,18.95,80.5,467.5,593
"31",2017-08-17,"C",3.98,3.98,3.98,0,6.7,6.2,250,4,290,NA,NA,29.55,19.55,78,465.5,612.55
"32",2017-08-18,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,19.6,78,475,632.15
"33",2017-08-19,"C",4.84,3.81,4.1,0.4,6.9,6.2,210,4,270,NA,NA,29.7,19.7,71.5,468,651.85
"34",2017-08-20,"C",4.49,3.83,4.1,0.4,6.9,6.2,220,6,270,NA,NA,29.75,19.75,68.5,449,671.6
"35",2017-08-21,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.35,20.35,69,477,691.95
"36",2017-08-22,"C",5.26,2.23,3.8,5.4,7.1,6.4,110,6,190,NA,NA,30.3,20.3,74,464,712.25
"37",2017-08-23,"C",4.18,4.09,4.09,0,6.9,6.3,210,6,330,NA,NA,30.95,20.95,75,483.5,733.2
"38",2017-08-24,"C",4.2,4.2,4.2,0,6.9,6.2,260,6,300,NA,NA,31,21,73,520,754.2
"39",2017-08-25,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.45,21.45,71,452.5,775.65
"40",2017-08-26,"C",5.61,3.56,4.34,2.2,6.9,6.3,200,6,270,NA,NA,27.95,17.95,70,458.5,793.6
"41",2017-08-27,"C",4.24,4.24,4.33,0.3,6.9,6.2,250,6,290,NA,NA,28,18,64.5,414.5,811.6
"42",2017-08-28,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,18.7,76,450.5,830.3
"43",2017-08-29,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,20.3,71.5,491,850.6
"44",2017-08-30,"C",5.01,4.85,4.85,0,7,6.3,210,5,330,NA,NA,29.3,19.3,74.5,447,869.9
"45",2017-08-31,"C",4.9,4.9,4.9,0,7,6.2,230,5,320,NA,NA,28,18,62,410,887.9
"46",2017-09-01,"C",4.94,4.8,4.8,0,6.8,6.3,280,4,320,NA,NA,28.55,18.55,55,405.5,906.45
"47",2017-09-02,"C",4.83,4.58,4.62,0.1,6.8,6.4,280,4,290,NA,NA,26.85,16.85,65.5,406,923.3
"48",2017-09-03,"C",4.84,4.64,4.71,0.2,6.8,6.3,250,4,320,NA,NA,26.8,16.8,64.5,401,940.1
"49",2017-09-04,"C",5.01,4.51,4.71,1,6.8,6.3,280,4,240,NA,NA,24.05,14.05,71,406,954.15
"50",2017-09-05,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.35,14.35,77,414.5,968.5
"51",2017-09-06,"C",5.64,4.28,5.2,3.4,6.8,6.3,230,6,240,NA,NA,26.45,16.45,85,456,984.95
"52",2017-09-07,"C",5.41,5.31,5.31,0,6.8,6.3,310,5,320,NA,NA,27.2,17.2,87.5,527.5,1002.15
"53",2017-09-08,"C",5.47,5.41,5.41,0,6.6,6.1,350,4,310,NA,NA,28.75,18.75,71,464.5,1020.9
"54",2017-09-09,"C",5.12,5.12,5.12,0,6.7,6.2,360,3,280,NA,NA,25.85,15.85,68.5,449.5,1036.75
"55",2017-09-10,"C",5.23,5.11,5.11,0,6.7,6.2,350,3,250,NA,NA,27,17,74,474,1053.75
"56",2017-09-11,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.55,16.55,78,467.5,1070.3
"57",2017-09-12,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,16.2,88.5,480.5,1086.5
"58",2017-09-13,"C",5.31,5.14,5.3,0.7,6.9,6.4,250,3,270,NA,NA,28.05,18.05,75,514.5,1104.55
"59",2017-09-14,"C",5.44,5.15,5.33,0.6,6.9,6.2,290,3,260,NA,NA,26.55,16.55,73.5,471,1121.1
"60",2017-09-15,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,13.7,72,431.5,1134.8
"61",2017-09-16,"C",6.3,4.37,5.86,4.7,6.8,6.4,170,4,250,NA,NA,23.4,13.4,93,404.5,1148.2
"62",2017-09-17,"C",5.41,5.41,5.58,0.8,7,6.3,200,3,360,NA,NA,26.35,16.35,81,511,1164.55
"63",2017-09-18,"C",5.8,5.31,5.73,1.8,6.8,6.1,200,4,390,NA,NA,26.55,16.55,80,503,1181.1
"64",2017-09-18,"C",5.8,5.31,5.73,1.8,6.8,6.1,200,4,390,NA,NA,26.55,16.55,80,503,1181.1
"65",2017-09-19,"C",5.86,5.55,5.86,1.2,6.7,6.2,220,3,370,NA,NA,25.25,15.25,75,468,1196.35
"66",2017-09-20,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,15.5,73,495,1211.85
"67",2017-09-21,"C",5.84,5.67,5.93,0.7,6.7,6.3,190,4,350,NA,NA,24.95,14.95,70.5,475.5,1226.8
"68",2017-09-22,"C",6.1,5.48,5.98,1.4,6.7,6.3,170,4,360,NA,NA,19.6,9.6,90,479,1236.4
"69",2017-09-23,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.45,14.45,84,482,1250.85
"70",2017-09-24,"C",6.81,5.31,6.1,2.2,6.7,6.3,160,4,370,0,5.24285714285714,24.6,14.6,78.5,495.5,1265.45
"71",2017-09-25,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.55,14.55,71.5,485,1280
"72",2017-09-26,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,15.8,69,528,1295.8
"73",2017-09-27,"C",6.37,6.37,6.37,0,6.9,6.4,170,3,470,NA,NA,26.15,16.15,76,480,1311.95
"74",2017-09-28,"C",6.34,6.26,6.26,0,6.8,6.4,160,3,440,NA,NA,21.1,11.1,84,478,1323.05
"75",2017-09-29,"C",6.49,6.31,6.31,0,6.7,6.3,180,2,420,NA,NA,22.45,12.45,69,413,1335.5
"76",2017-09-30,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.05,13.05,65.5,416,1348.55
"77",2017-10-01,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14285714285714,7.44285714285714,22.4,12.4,68,452,1360.95
"78",2017-10-02,"C",6.65,6.56,6.56,0,6.9,6.3,150,3,470,NA,NA,22.2,12.2,94.5,555.5,1373.15
"79",2017-10-03,"C",6.63,6.63,6.63,0,6.9,6.2,160,3,480,NA,NA,24.9,14.9,80,584.5,1388.05
"80",2017-10-04,"C",6.64,6.41,6.65,0.4,6.7,6.3,170,3,450,NA,NA,21.2,11.2,71.5,453,1399.25
"81",2017-10-05,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.65,11.65,69.5,492.5,1410.9
"82",2017-10-06,"C",6.74,6.61,6.61,0,6.8,6.3,160,3,470,NA,NA,20.05,10.05,92,488.5,1420.95
"83",2017-10-07,"C",6.8,6.8,6.8,0,6.7,6.1,180,3,460,NA,NA,23.7,13.7,84.5,544.5,1434.65
