"","date","Block","EC_Before","EC_After","EC","EC_Stress","PH_Before","PH_After","NO3","NO3_Supply","Cation","sweetness","Total","mean_temp","GDD","mean_Hum","mean_CO2","Cum_GDD"
"1",2017-08-16,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,20.2,75,555,20.2
"2",2017-08-17,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,20.4,73,567,40.6
"3",2017-08-18,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,20.4,72.5,527,61
"4",2017-08-19,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7,20.7,66.5,546,81.7
"5",2017-08-20,"F",2.27,2.27,3.45,10,6.8,6.3,100,6,330,NA,NA,31,21,63.5,549,102.7
"6",2017-08-21,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.55,21.55,63.5,570,124.25
"7",2017-08-22,"F",1.72,1.72,2.93,16,6.9,6.3,96,6,310,NA,NA,31.5,21.5,68,550,145.75
"8",2017-08-23,"F",1.9,1.9,2.92,13,6.8,6.4,140,6,290,NA,NA,32.4,22.4,68.5,592.5,168.15
"9",2017-08-24,"F",1.98,1.98,3.15,16,6.8,6.2,150,6,260,NA,NA,32.15,22.15,67,565.5,190.3
"10",2017-08-25,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,22.7,65,560,213
"11",2017-08-26,"F",1.87,1.87,3.31,19,6.9,6.2,120,6,290,NA,NA,29.15,19.15,65,465.5,232.15
"12",2017-08-27,"F",2.26,2.26,3.25,14.3,6.8,6.4,130,6,290,NA,NA,29,19,60,489,251.15
"13",2017-08-28,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9,19.9,69,483.5,271.05
"14",2017-08-29,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.35,21.35,66.5,533.5,292.4
"15",2017-08-30,"F",2.56,2.56,3.31,10.5,6.9,6.3,120,7,310,NA,NA,30.2,20.2,68,466.5,312.6
"16",2017-08-31,"F",2.5,2.5,3.49,11.3,6.7,6.4,150,7,300,NA,NA,28.85,18.85,56.5,430,331.45
"17",2017-09-01,"F",2.56,2.56,3.6,11.8,6.7,6.4,200,7,380,NA,NA,22.05,12.05,69,272.5,343.5
"18",2017-09-02,"F",2.68,2.68,3.58,10.3,6.7,6.4,220,7,380,NA,NA,26.35,16.35,61.5,377.5,359.85
"19",2017-09-03,"F",2.64,2.64,3.73,12,6.7,6.3,210,7,310,NA,NA,26.8,16.8,61,389.5,376.65
