"","date","Block","EC_Before","EC_After","EC","EC_Stress","PH_Before","PH_After","NO3","NO3_Supply","Cation","sweetness","Total","mean_temp","GDD","mean_Hum","mean_CO2","Cum_GDD"
"1",2017-06-01,"D",3.01,3.01,3.01,0,6.7,6.4,260,3,340,NA,NA,NA,NA,NA,NA,NA
"2",2017-06-03,"D",3.06,3.05,3.05,0,6.8,6.2,260,3,310,NA,NA,NA,NA,NA,NA,NA
"3",2017-06-04,"D",3.08,3.07,3.12,0.4,6.6,6.3,270,3,300,NA,NA,NA,NA,NA,NA,NA
"4",2017-06-06,"D",3.19,3.19,3.19,0,6.8,6.2,250,3,320,NA,NA,NA,NA,NA,NA,NA
"5",2017-06-07,"D",3.24,2.33,3.45,11,6.5,6.3,270,3,210,NA,NA,NA,NA,NA,NA,NA
"6",2017-06-08,"D",3.32,3.23,3.32,0.9,6.6,6.3,210,5,310,NA,NA,NA,NA,NA,NA,NA
"7",2017-06-10,"D",3.31,2.72,3.59,8.5,6.6,6.4,190,7,300,NA,NA,NA,NA,NA,NA,NA
"8",2017-06-11,"D",3.55,3.44,3.44,0,6.7,6.4,210,7,330,NA,NA,NA,NA,NA,NA,NA
"9",2017-06-12,"D",3.44,3.3,3.58,2.5,6.7,6.3,250,7,330,NA,NA,NA,NA,NA,NA,NA
"10",2017-06-13,"D",3.53,3.42,3.53,1,6.7,6.4,240,8,310,NA,NA,NA,NA,NA,NA,NA
"11",2017-06-14,"D",3.55,3.41,3.67,2.4,6.6,6.4,290,7,360,NA,NA,NA,NA,NA,NA,NA
"12",2017-06-15,"D",3.65,3.47,3.8,2.9,6.6,6.4,250,8,320,NA,NA,NA,NA,NA,NA,NA
"13",2017-06-16,"D",3.7,3.49,3.91,3.9,6.5,6.4,280,7,330,NA,NA,NA,NA,NA,NA,NA
"14",2017-06-20,"D",4.36,2.56,4.3,18,6.5,6.4,200,8,210,NA,NA,NA,NA,NA,NA,NA
"15",2017-06-21,"D",4.52,4.31,4.31,0,6.8,6.4,220,7,380,NA,NA,NA,NA,NA,NA,NA
"16",2017-06-22,"D",4.33,4.24,4.42,2,6.8,6.4,260,6,350,NA,NA,NA,NA,NA,NA,NA
"17",2017-06-23,"D",4.54,4.54,4.54,0,6.6,6.3,250,7,400,NA,NA,NA,NA,NA,NA,NA
"18",2017-06-25,"D",4.68,4.54,4.7,2,6.7,6.4,220,7,380,NA,NA,NA,NA,NA,NA,NA
"19",2017-06-27,"D",5.07,3.73,5.13,13.4,6.6,6.4,160,8,300,NA,NA,NA,NA,NA,NA,NA
"20",2017-06-28,"D",4.98,4.81,4.81,0,6.6,6.4,180,8,420,NA,NA,NA,NA,NA,NA,NA
"21",2017-06-29,"D",4.91,4.54,4.96,3.8,6.6,6.4,190,8,390,NA,NA,NA,NA,NA,NA,NA
"22",2017-06-30,"D",4.93,4.58,5.14,5.3,6.6,6.4,180,8,390,NA,NA,29.75,19.75,75,365.5,19.75
"23",2017-07-01,"D",5.15,4.68,4.98,4.3,6.5,6.3,200,8,450,NA,NA,30.2,20.2,74,378.5,39.95
"24",2017-07-02,"D",5.11,4.74,5.15,6,6.5,6.3,220,8,440,NA,NA,29.9,19.9,73.5,373.5,59.85
"25",2017-07-03,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.45,20.45,73,378.5,80.3
"26",2017-07-04,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.05,20.05,78,350,100.35
"27",2017-07-05,"D",5.57,5.48,5.48,0,6.8,6.4,210,7,540,NA,NA,28.3,18.3,82,359.5,118.65
"28",2017-07-06,"D",5.54,5.3,5.3,0,6.7,6.3,240,7,500,NA,NA,28.75,18.75,68.5,361.5,137.4
"29",2017-07-07,"D",5.49,5.01,5.43,3.6,6.6,6.4,220,7,480,NA,NA,28.6,18.6,72.5,434,156
"30",2017-07-08,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.65,18.65,73.5,372,174.65
"31",2017-07-09,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.05,18.05,84,355.5,192.7
"32",2017-07-10,"D",5.63,5.46,5.46,0,6.8,6.4,200,7,560,NA,NA,28.95,18.95,78.5,365.5,211.65
"33",2017-07-11,"D",5.56,5.19,5.63,3.9,6.7,6.4,220,7,530,NA,NA,29.55,19.55,74,377,231.2
"34",2017-07-12,"D",5.53,5.11,5.65,4.9,6.6,6.3,220,7,530,NA,NA,29.15,19.15,76,368.5,250.35
"35",2017-07-13,"D",5.66,5.39,5.55,1.4,6.7,6.4,230,7,530,NA,NA,29.3,19.3,75,359,269.65
"36",2017-07-14,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,18.7,81.5,354.5,288.35
"37",2017-07-15,"D",5.38,4.43,5.63,12,6.7,6.3,190,7,420,NA,NA,29.35,19.35,71.5,360,307.7
"38",2017-07-16,"D",5.73,5.35,5.61,3.1,6.7,6.4,210,7,540,NA,NA,30.75,20.75,73.5,380.5,328.45
"39",2017-07-17,"D",5.67,5.33,5.61,3.3,6.6,6.4,230,6,560,NA,NA,29.25,19.25,77.5,348.5,347.7
"40",2017-07-18,"D",5.94,5.46,5.61,1.8,6.6,6.4,240,6,500,NA,NA,28,18,83.5,346.5,365.7
"41",2017-07-19,"D",5.64,5.31,5.73,4.9,6.7,6.3,260,6,510,NA,NA,29.15,19.15,75,344,384.85
"42",2017-07-20,"D",5.94,5.22,5.75,6,6.6,6.1,240,7,460,NA,NA,28.5,18.5,75,330.5,403.35
"43",2017-07-21,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.75,19.75,72.5,326,423.1
"44",2017-07-22,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.25,19.25,71.5,352.5,442.35
"45",2017-07-23,"D",5.92,5.56,5.78,3,6.8,6.3,220,7,600,NA,NA,29.3,19.3,78,350,461.65
"46",2017-07-24,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.45,19.45,78,395,481.1
"47",2017-07-25,"D",6.1,5.61,5.98,4.9,6.7,6.4,250,5,560,6.5,25.3,29.5,19.5,82,380,500.6
"48",2017-07-25,"D",6.1,5.61,5.98,4.9,6.7,6.4,250,5,560,6.5,25.3,29.5,19.5,82,380,500.6
"49",2017-07-26,"D",6.11,5.51,5.99,6.1,6.8,6.3,250,5,530,0,29.3,30.5,20.5,76,359.5,521.1
"50",2017-07-27,"D",6.22,5.64,6.01,4.5,6.6,6.4,260,4,550,0,0,30.6,20.6,74,371,541.7
"51",2017-07-28,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,133.5,30.1,20.1,77.5,373,561.8
"52",2017-07-29,"D",6.96,5.02,6.23,13.5,6.5,6.3,220,5,500,0,0,31.85,21.85,72.5,370,583.65
"53",2017-07-30,"D",6.39,6.02,6.11,1,6.7,6.3,220,5,550,0,0,30.55,20.55,76,354.5,604.2
"54",2017-07-31,"D",6.18,5.83,6.25,4.6,6.6,6.3,230,5,530,0,247.6,31.75,21.75,74,399,625.95
"55",2017-08-01,"D",6.42,5.82,6.23,4.8,6.6,6.3,220,5,600,0,0,29.85,19.85,78,379.5,645.8
"56",2017-08-02,"D",6.29,6,6.37,3.8,6.6,6.4,210,0,580,0,138.7,29.7,19.7,73.5,361,665.5
"57",2017-08-03,"D",6.43,5.57,6.26,11.5,6.7,6.4,170,6,560,0,0,30.8,20.8,66.5,357,686.3
"58",2017-08-04,"D",6.42,5.95,6.41,6.4,6.6,6.3,200,6,580,0,74.6,30.9,20.9,72,360.5,707.2
"59",2017-08-05,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,31.15,21.15,73,371.5,728.35
"60",2017-08-06,"D",6.29,5.41,6.78,16,6.6,6.4,130,7,570,0,0,31.85,21.85,69,387,750.2
"61",2017-08-07,"D",6.66,6.38,6.53,1.7,6.7,6.4,160,6,720,0,50.2,27.5,17.5,85,360,767.7
"62",2017-08-08,"D",6.6,6.28,6.75,4.6,6.7,6.4,180,6,660,0,0,29.1,19.1,85,372.5,786.8
