"","Date","Mean_T"
"1","2017-07-07",19.3
"2","2017-07-08",19.1
"3","2017-07-09",17.4
"4","2017-07-10",19.1
"5","2017-07-11",20.1
"6","2017-07-12",14.9
"7","2017-07-16",19.6
"8","2017-07-17",19.4
"9","2017-07-18",18.6
"10","2017-07-19",20.1
"11","2017-07-20",19.6
"12","2017-07-21",21.1
"13","2017-07-22",20.3
"14","2017-07-23",20.7
"15","2017-07-24",20.5
"16","2017-07-25",20.2
"17","2017-07-26",21.5
"18","2017-07-27",22.2
"19","2017-07-28",21.4
"20","2017-07-29",22.9
"21","2017-07-30",22.7
"22","2017-07-31",23.2
"23","2017-08-01",21.5
"24","2017-08-02",21.4
"25","2017-08-03",21.9
"26","2017-08-04",22.5
"27","2017-08-05",22.6
"28","2017-08-06",23.1
"29","2017-08-07",17.5
"30","2017-08-08",19.8
"31","2017-08-09",21.6
"32","2017-08-10",22
"33","2017-08-11",21.2
"34","2017-08-12",20.3
"35","2017-08-13",20.4
"36","2017-08-14",19.7
"37","2017-08-15",18.6
"38","2017-08-16",20.6
"39","2017-08-17",20.3
"40","2017-08-18",20.9
"41","2017-08-19",21
"42","2017-08-20",20.9
"43","2017-08-21",14.5
"44","2017-08-22",21.1
"45","2017-08-23",22.5
"46","2017-08-24",22.3
"47","2017-08-25",23.1
"48","2017-08-26",19.6
"49","2017-08-27",19.5
"50","2017-08-28",20.6
"51","2017-08-29",21.6
"52","2017-08-30",20.9
"53","2017-08-31",19.2
"54","2017-09-01",17.7
"55","2017-09-02",17.1
"56","2017-09-03",17.6
"57","2017-09-04",13.9
"58","2017-09-05",14.4
"59","2017-09-06",16.4
"60","2017-09-07",17.2
"61","2017-09-08",17.3
"62","2017-09-09",17.3
"63","2017-09-10",18.7
"64","2017-09-11",16.6
"65","2017-09-12",15.9
"66","2017-09-13",18.4
"67","2017-09-14",15.9
"68","2017-09-15",13
"69","2017-09-16",13.6
"70","2017-09-17",17
"71","2017-09-18",16.8
"72","2017-09-19",15.4
"73","2017-09-20",15.7
"74","2017-09-21",14.5
"75","2017-09-22",9.3
"76","2017-09-23",14.1
"77","2017-09-24",14.8
"78","2017-09-25",14.4
"79","2017-09-26",15.5
"80","2017-09-27",16.3
"81","2017-09-28",10.7
"82","2017-09-29",12.2
"83","2017-09-30",13.3
"84","2017-10-01",11.9
"85","2017-10-02",12.1
"86","2017-10-03",14.8
"87","2017-10-04",10.7
"88","2017-10-05",12.2
"89","2017-10-06",10
"90","2017-10-07",13.2
"91","2017-10-08",15.2
"92","2017-10-09",14.3
"93","2017-10-10",15.6
"94","2017-10-11",15.5
"95","2017-10-12",13.9
"96","2017-10-13",11.6
"97","2017-10-14",12.1
"98","2017-10-15",12.3
"99","2017-10-16",10.1
"100","2017-10-17",9.7
"101","2017-10-18",11.6
"102","2017-10-19",11
"103","2017-10-20",12.1
"104","2017-10-21",10.2
"105","2017-10-22",9.4
"106","2017-10-23",12.9
"107","2017-10-24",10.9
"108","2017-10-25",12.6
"109","2017-10-26",11
"110","2017-10-27",16.1
"111","2017-10-28",11.7
"112","2017-10-29",9.7
"113","2017-10-30",10.9
"114","2017-10-31",11.2
"115","2017-11-01",10.8
"116","2017-11-02",11.1
"117","2017-11-03",13.4
"118","2017-11-04",12.2
"119","2017-11-05",10.4
"120","2017-11-06",11
"121","2017-11-07",12.4
"122","2017-11-08",10.1
"123","2017-11-09",10.8
"124","2017-11-10",10.1
"125","2017-11-11",12.9
"126","2017-11-12",10.2
"127","2017-11-13",9.7
"128","2017-11-14",5.2
"129","2017-11-15",10.3
"130","2017-11-16",8.4
"131","2017-11-17",8.2
"132","2017-11-18",4.8
"133","2017-11-19",9.3
"134","2017-11-20",5.9
"135","2017-11-21",8.7
"136","2017-11-22",6
"137","2017-11-23",8.7
"138","2017-11-24",8.6
"139","2017-11-25",8.4
"140","2017-11-26",7.4
"141","2017-11-27",10.6
"142","2017-11-28",10.7
"143","2017-11-29",6.5
"144","2017-11-30",9.4
"145","2017-12-01",7.9
"146","2017-12-02",7
"147","2017-12-03",9.4
"148","2017-12-04",6.9
"149","2017-12-05",7.9
"150","2017-12-06",7.5
"151","2017-12-07",8.4
"152","2017-12-08",3.1
"153","2017-12-09",8.2
"154","2017-12-10",9.9
"155","2017-12-11",7
"156","2017-12-12",8.9
