Timezone : Asia/Tokyo,Temperature,Humidity,CO2,Noise,Pressure
2017-1-1,13.8,46,484,36,1020.7
2017-1-1,13.6,47,483,36,1020.8
2017-1-1,13.4,47,474,36,1021
2017-1-1,13.2,47,465,37,1021
2017-1-1,12.9,47,464,36,1021
2017-1-1,12.8,47,453,36,1021
2017-1-1,12.7,48,455,36,1021
2017-1-1,12.5,48,459,36,1021.1
2017-1-1,12.3,48,457,36,1021.1
2017-1-1,12.2,48,452,36,1021.1
2017-1-1,12,49,457,36,1021.2
2017-1-1,11.8,49,461,36,1021.2
2017-1-1,11.6,49,449,36,1021.2
2017-1-1,11.5,49,443,36,1021.3
2017-1-1,11.3,50,441,37,1021.3
2017-1-1,11.2,50,441,36,1021.2
2017-1-1,11,50,440,36,1021.2
2017-1-1,10.9,50,445,36,1021.3
2017-1-1,10.8,51,448,36,1021.3
2017-1-1,10.7,51,445,36,1021.4
2017-1-1,10.5,51,439,36,1021.5
2017-1-1,10.3,52,431,36,1021.5
2017-1-1,10.1,52,432,36,1021.6
2017-1-1,9.9,52,431,36,1021.6
2017-1-1,9.7,53,425,36,1021.7
2017-1-1,9.6,53,418,36,1021.7
2017-1-1,9.4,53,430,36,1021.8
2017-1-1,9.2,54,410,36,1021.8
2017-1-1,9,54,410,37,1021.8
2017-1-1,8.9,54,407,37,1021.9
2017-1-1,8.7,55,403,37,1022
2017-1-1,8.6,55,409,38,1022.2
2017-1-1,8.4,55,403,38,1022.3
2017-1-1,8.3,55,408,38,1022.3
2017-1-1,8.2,56,410,38,1022.3
2017-1-1,8,56,418,38,1022.4
2017-1-1,7.9,56,412,38,1022.4
2017-1-1,7.8,57,418,39,1022.3
2017-1-1,7.7,57,423,39,1022.3
2017-1-1,7.6,57,423,38,1022.2
2017-1-1,7.5,57,409,37,1022.2
2017-1-1,7.4,58,397,37,1022.1
2017-1-1,7.3,58,386,40,1022.2
2017-1-1,7.2,58,397,38,1022.3
2017-1-1,7.2,58,391,40,1022.4
2017-1-1,7.2,58,404,38,1022.4
2017-1-1,7.2,59,404,38,1022.4
2017-1-1,7.2,59,414,36,1022.3
2017-1-1,7.2,59,417,36,1022.3
2017-1-1,7.2,59,419,36,1022.4
2017-1-1,7.2,59,419,36,1022.3
2017-1-1,7.2,59,424,36,1022.2
2017-1-1,7.2,60,425,36,1022.1
2017-1-1,7.3,60,419,36,1022.1
2017-1-1,7.3,60,410,36,1022
2017-1-1,7.3,60,409,36,1021.9
2017-1-1,7.3,59,401,36,1021.9
2017-1-1,7.3,59,392,36,1021.9
2017-1-1,7.3,59,378,36,1021.8
2017-1-1,7.3,59,367,36,1021.7
2017-1-1,7.2,59,366,36,1021.7
2017-1-1,7.2,59,354,36,1021.8
2017-1-1,7.2,59,353,36,1021.8
2017-1-1,7.2,59,357,36,1021.8
2017-1-1,7.1,59,351,36,1021.8
2017-1-1,7.2,59,355,36,1021.8
2017-1-1,7.2,59,350,36,1021.8
2017-1-1,7.2,59,354,36,1021.9
2017-1-1,7.2,59,358,36,1021.9
2017-1-1,7.2,59,350,36,1021.9
2017-1-1,7.2,59,348,36,1021.7
2017-1-1,7.2,59,342,37,1021.6
2017-1-1,7.2,59,341,36,1021.6
2017-1-1,7.2,58,336,36,1021.7
2017-1-1,7.1,58,335,36,1021.7
2017-1-1,7.1,59,335,36,1021.7
2017-1-1,6.9,59,330,36,1021.7
2017-1-1,6.9,59,334,36,1021.7
2017-1-1,6.8,59,327,37,1021.7
