Cum_CO2,Cum_GDD,Cum_Harvest,date,y_predictions
503.0,1181.1,5.7,2017-09-18,-3.82230912019
1006.0,1181.1,11.4,2017-09-18,18.8000678481
1501.0,1211.85,24.2,2017-09-20,33.0006794136
1980.0,1236.4,42.4,2017-09-22,48.1071946284
2465.0,1280.0,65.2,2017-09-25,58.4890729133
2945.0,1311.95,79.7,2017-09-27,71.7004475974
3358.0,1335.5,94.5,2017-09-29,84.100796876
3913.5,1373.15,105.7,2017-10-02,99.2133636099
4366.5,1399.25,113.2,2017-10-04,112.744155777
4855.0,1420.95,117.8,2017-10-06,129.025139205
5440.5,1450.1,122.5,2017-10-08,147.715464047
6010.5,1496.55,156.2,2017-10-11,161.173002595
6505.5,1522.5,180.3,2017-10-13,176.632067416
7024.0,1557.5,211.6,2017-10-16,190.775333751
7519.5,1579.85,226.6,2017-10-18,207.200725965
8023.5,1603.7,236.4,2017-10-20,223.615138226
8563.5,1634.6,242.3,2017-10-23,239.80029383
9077.0,1645.45,249.5,2017-10-24,260.050278583
9598.5,1685.05,260.8,2017-10-27,273.122451929
10099.5,1715.95,278.4,2017-10-30,287.553586257
10561.0,1726.85,291.1,2017-10-31,305.451767088
11048.0,1747.3,317.0,2017-11-02,321.993010361
11659.6028172,1774.197054,345.3,2017-11-06,342.447979253
12399.1422294,1794.487142,375.0,2017-11-09,370.389083845
13164.3321929,1802.63131,395.9,2017-11-10,402.668209649
13893.634804,1832.191182,421.1,2017-11-13,427.71858387
14452.634804,1854.391182,444.0,2017-11-15,447.039209186
14896.634804,1871.391182,468.6,2017-11-17,462.551044842
15317.134804,1890.591182,482.0,2017-11-20,476.429179167
15754.134804,1904.291182,500.7,2017-11-22,492.491377105
16222.134804,1920.341182,513.4,2017-11-24,509.331679343
16767.134804,1946.091182,526.1,2017-11-27,527.091924942
