Cum_CO2,Cum_GDD,Cum_Harvest,date,y_predictions
665.5,1036.6,3.5,2017-10-23,-72.5526288656
1331.0,1036.6,7.0,2017-10-23,-43.7465637339
1859.5,1059.7,29.6,2017-10-25,-1.04905039407
2481.0,1084.55,46.9,2017-10-27,47.1755803172
3012.5,1115.8,59.2,2017-10-30,96.9962381478
3450.5,1134.8,69.6,2017-11-01,132.258376123
3943.0,1156.35,88.9,2017-11-03,172.067622801
4477.5,1187.1,165.8,2017-11-06,221.589098976
5093.5,1208.85,223.8,2017-11-08,266.915638635
5599.0,1229.35,283.2,2017-11-10,306.386612307
6117.5,1259.6,377.4,2017-11-13,354.78649475
6670.0,1274.75,412.8,2017-11-15,391.701168923
7156.5,1290.6,456.4,2017-11-17,426.35969392
7565.0,1307.85,491.9,2017-11-20,458.843302255
7997.5,1322.1,512.9,2017-11-22,489.791529739
8455.5,1337.65,548.2,2017-11-24,522.959014903
9006.5,1362.6,561.6,2017-11-27,568.217871197
