"","date","block","vid","A","B","LOSS"
"1","2016-05-04","A","v1",2,0,0
"2","2016-05-09","A","v1",13.6,1,0
"3","2016-05-11","A","v1",18,3.7,0
"4","2016-05-13","A","v1",41,15.4,0
"5","2016-05-16","A","v1",65,14.6,0
"6","2016-05-19","A","v1",33.1,11.8,0
"7","2016-05-24","A","v1",79,15.8,0
"8","2016-05-26","A","v1",63.1,10.5,0
"9","2016-05-30","A","v1",155.4,30.5,0
"10","2016-06-01","A","v1",106.9,14,0
"11","2016-06-04","A","v1",103.7,10.6,0
"12","2016-06-07","A","v1",88.2,24.7,0
"13","2016-06-11","A","v1",114.9,52.5,0
"14","2016-06-15","A","v1",47.4,44.7,0
"15","2016-06-17","A","v1",38.7,18.2,14
"16","2016-06-20","A","v1",56.5,13.1,12
"17","2016-06-22","A","v1",48.7,23,14.5
"18","2016-06-24","A","v1",36.5,44.2,20
"19","2016-06-27","A","v1",50.5,51.1,38.6
"20","2016-06-27","F","v1",23.4,9.3,10.5
"21","2016-06-29","F","v1",48.8,11.6,1.6
"22","2016-06-29","A","v1",18.9,10,21.7
"23","2016-07-01","A","v1",19.5,4.9,18.5
"24","2016-07-01","F","v1",36.1,11.1,0.9
"25","2016-07-04","A","v1",12.5,9.2,10
"26","2016-07-04","F","v1",16.7,8.4,1.6
"27","2016-07-06","F","v1",2.3,4.7,1.1
"28","2016-07-06","A","v1",11,11.4,9
"29","2016-07-08","A","v1",4.8,5.7,10.8
"30","2016-07-08","F","v1",0,0,4
"31","2016-07-11","A","v1",13.4,19.3,23.1
"32","2016-07-11","F","v1",39.5,23,7.1
"33","2016-07-13","A","v1",2.4,26.8,5.8
"34","2016-07-13","F","v1",61.2,115.2,31.1
"35","2016-07-15","F","v1",32.9,15.8,9
"36","2016-07-15","E","v1",2.3,0.9,1.2
"37","2016-07-18","E","v1",18.6,15.1,9.5
"38","2016-07-18","F","v1",45.2,59,68.5
"39","2016-07-20","E","v1",10.3,9.3,9.2
"40","2016-07-20","F","v1",56.5,49.3,16.6
"41","2016-07-22","F","v1",25.5,29.8,7.2
"42","2016-07-22","E","v1",5.8,5.7,3
"43","2016-07-25","E","v1",11.6,19.7,2.9
"44","2016-07-25","F","v1",21.3,33.8,9.5
"45","2016-07-27","E","v1",23.2,47.6,0.8
"46","2016-07-27","F","v1",9.6,23.7,2.8
"47","2016-07-29","F","v1",18,32.9,6.3
